"","id","mus1.1listentorecordedmusic","mus1.1listentorecordedmusic_times","mus1.2singaloneorwithothers","mus1.2singaloneorwithothers_times","mus1.3lookatbooks","mus1.3lookatbooks_times","mus1.4playwithmusicalinstruments","mus1.4playwithmusicalinstruments_times","mus1.5makepaintingsordrawings","mus1.5makepaintingsordrawings_times","mus2.1dophysicalexercise","mus2.1dophysicalexercise_times","mus2.2danceormovetomusic","mus2.2danceormovetomusic_times","mus2.3attendmusicclasseslessons","mus2.3attendmusicclasseslessons_times","mus3.1Ireadbookstomybaby","mus3.1Ireadbookstomybaby_times","mus3.2isangtomybaby","mus3.2isangtomybaby_times","mus3.3iplayedmusicalinstrumentswithmybaby","mus3.3iplayedmusicalinstrumentswithmybaby_times","mus3.4iplayedrecordedmusicformybaby","mus3.4iplayedrecordedmusicformybaby_times","mus3.5imadepaintingsordrawingswithmybaby","mus3.5imadepaintingsordrawingswithmybaby_times","mus4.1itookmybabytoconcertstohearlivemusic","mus4.1itookmybabytoconcertstohearlivemusic_times","mus4.2itookmybabytoartmuseums","mus4.2itookmybabytoartmuseums_times","mus4.3itookmybabytomusicclasses","mus4.3itookmybabytomusicclasses_times","mus5.1isanglullabiesorothersongs","mus5.1isanglullabiesorothersongs_times","mus5.2iplayedrecordedmusic","mus5.2iplayedrecordedmusic_times","mus5.3ispokerhymesorpoemstomybaby","mus5.3ispokerhymesorpoemstomybaby_times","mus5.4imadecooingorshushingsounds","mus5.4imadecooingorshushingsounds_times","mus5.5irubbedmybaby.sback","mus5.5irubbedmybaby.sback_times","cbcl_total","age","education_year","female","child_exposure","lui_raw","lui_percentile","cdi_raw","cdi_percentile","emq_g","emq_pa","bilingual","bilingual_speaks","lab","graddegree","music","music_infant_total","music_current_total","music_total","htp","peabody_grasping","peabody_visualmotor","stp","DOB","BornBeforeApril2019","music_infant_total_times","music_current_total_times","music_total_times","non_music_total_times","non_music_total"
"1",427,5,75,6,180,7,270,4,15,3,4,6,4,7,6,6,4,7,270,7,270,6,180,6,180,1,0.75,6,4,1,0,6,4,7,6,4,1,1,0,7,6,7,6,NA,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,"May 14, 2017",1,645,280,925,554.75,33
"2",431,4,15,3,4,7,270,3,4,5,75,7,6,7,6,5,1.5,5,75,6,180,2,1,3,4,1,0.75,2,0.17,2,0.17,2,0.17,7,6,6,4,6,4,6,4,4,1,NA,18,16,1,NA,36,42,11,NA,-9,21,1,NA,1,0,0,28,22,50,2,35,63,NA,"April 25, 2018",1,195.34,30.5,225.84,434.92,39
"3",432,2,1,3,4,4,15,1,0.75,1,0.75,7,6,7,6,1,0,4,15,5,75,1,0.75,3,4,1,0.75,1,0,3,0.5,1,0,3,0.5,1,0,4,1,6,4,6,4,NA,18,18,0,NA,24,36,9,NA,15,15,1,NA,1,1,0,15,14,29,2,40,81,9,"May 9, 2018",1,80.25,11.75,92,43,30
"4",433,4,15,6,180,6,180,3,4,4,15,1,0,7,6,1,0,5,75,5,75,3,4,4,15,3,4,1,0,1,0,1,0,7,6,1,0,2,0.17,6,4,7,6,NA,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,"April 25, 2018",1,100,205,305,278.17,28
"5",437,6,180,5,75,5,75,5,75,5,75,7,6,7,6,1,0,5,75,5,75,5,75,7,270,4,15,1,0,1,0,1,0,7,6,7,6,7,6,7,6,7,6,NA,28,18,1,NA,94,20,80,NA,54,52,1,NA,1,1,0,33,24,57,3,37,94,5,"September 17, 2017",1,432,336,768,258,41
"6",438,5,75,4,15,5,75,3,4,4,15,7,6,7,6,6,4,5,75,4,15,3,4,5,75,3,4,1,0,2,0.17,6,4,2,0.17,1,0,2,0.17,5,1.5,6,4,NA,21,18,1,NA,NA,NA,46,NA,19,32,1,NA,1,1,1,22,25,47,2,43,101,14,"April 8, 2018",1,98.17,104,202.17,176.84,33
"7",439,5,75,5,75,4,15,3,4,4,15,5,1.5,7,6,1,0,4,15,4,15,3,4,4,15,3,4,2,0.17,2,0.17,1,0,6,4,1,0,2,0.17,7,6,7,6,NA,20,18,1,NA,25,4.5,11,NA,28,34,1,NA,1,1,0,21,21,42,3,40,75,5,"February 14, 2018",1,38.17,160,198.17,56.84,31
"8",441,6,180,7,270,6,180,4,15,5,75,7,6,7,6,1,0,4,15,6,180,3,4,6,180,3,4,3,0.5,3,0.5,4,1,7,6,7,6,2,0.17,6,4,6,4,NA,21,16,1,NA,84,86,44,NA,28,52,0,NA,1,0,0,36,25,61,3,36,88,11,"February 9, 2018",1,377.5,471,848.5,284.67,36
"9",442,5,75,5,75,5,75,5,75,6,180,7,6,7,6,6,4,5,75,5,75,4,15,5,75,4,15,2,0.17,3,0.5,1,0,6,4,7,6,3,0.5,6,4,7,6,NA,30,18,1,NA,108,25,65,NA,35,48,1,NA,1,1,1,30,28,58,1,36,102,15,"May 7, 2017",1,175.17,235,410.17,356,39
"10",443,5,75,7,270,6,180,4,15,4,15,7,6,7,6,6,4,5,75,6,180,4,15,5,75,3,4,2,0.17,1,0,6,4,6,4,1,0,2,0.17,6,4,5,1.5,NA,23,18,0,NA,69,60,50,NA,31,43,0,NA,1,1,1,30,29,59,3,41,92,4,"March 11, 2018",1,278.17,370,648.17,284.17,34
"11",445,5,75,6,180,6,180,4,15,5,75,7,6,7,6,1,0,5,75,6,180,4,15,4,15,4,15,1,0,1,0,2,0.17,6,4,1,0,1,0,7,6,6,4,NA,29,16,1,NA,146,91,90,NA,48,52,0,NA,1,0,0,24,23,47,3,44,102,11,"September 9, 2017",1,214.17,276,490.17,357,36
"12",446,4,15,5,75,6,180,3,4,4,15,7,6,7,6,6,4,5,75,6,180,2,1,2,1,2,1,5,1.5,3,0.5,2,0.17,5,1.5,1,0,1,0,6,4,5,1.5,NA,27,18,1,NA,129,87,83,NA,45,44,1,NA,1,1,1,23,25,48,3,42,98,16,"August 12, 2017",1,185.17,104,289.17,281.5,34
"13",448,4,15,4,15,5,75,5,75,6,180,5,1.5,7,6,1,0,5,75,5,75,5,75,5,75,5,75,1,0,3,0.5,1,0,6,4,5,1.5,6,4,6,4,6,4,NA,25,18,1,NA,NA,NA,40,NA,40,40,1,NA,1,1,0,28,21,49,NA,41,91,NA,"October 23, 2017",1,230.5,111,341.5,415,41
"14",449,5,75,5,75,6,180,3,4,1,0.75,7,6,7,6,6,4,5,75,6,180,4,15,5,75,1,0.75,2,0.17,1,0,6,4,7,6,2,0.17,2,0.17,3,0.5,6,4,NA,21,18,1,NA,67,61,66,NA,10,44,0,NA,1,1,1,32,26,58,3,40,83,11,"January 30, 2018",1,280.34,164,444.34,263.17,26
"15",453,6,180,4,15,6,180,4,15,3,4,7,6,7,6,1,0,5,75,5,75,5,75,6,180,3,4,1,0,4,1,1,0,5,1.5,6,4,4,1,6,4,7,6,NA,22,18,1,NA,69,51,58,NA,17,47,0,NA,1,1,0,29,22,51,3,36,94,NA,"March 12, 2018",1,335.5,216,551.5,275,38
"16",454,4,15,4,15,6,180,4,15,4,15,7,6,6,4,6,4,5,75,5,75,3,4,2,1,1,0.75,3,0.5,1,0,5,1.5,7,6,1,0,3,0.5,7,6,7,6,NA,30,18,1,NA,150,86,99,NA,56,52,0,NA,1,1,1,26,24,50,2,41,113,7,"July 12, 2017",1,88,53,141,283.25,34
"17",455,7,270,5,75,7,270,6,180,5,75,7,6,7,6,6,4,6,180,6,180,5,75,7,270,5,75,7,6,5,1.5,6,4,7,6,7,6,7,6,7,6,7,6,NA,19,14,1,NA,110,99,83,NA,24,51,1,NA,1,0,1,45,31,76,1,33,85,10,"June 22, 2018",1,547,535,1082,619.5,49
"18",457,6,180,6,180,5,75,6,180,4,15,7,6,7,6,5,1.5,5,75,6,180,5,75,4,15,3,4,6,4,4,1,6,4,7,6,2,0.17,6,4,3,0.5,3,0.5,NA,26,18,0,NA,133,97.5,88,NA,48,52,0,NA,1,1,1,36,30,66,3,41,90,7,"December 6, 2017",1,284.17,547.5,831.67,180.5,37
"19",458,6,180,7,270,5,75,4,15,4,15,7,6,7,6,6,4,4,15,7,270,4,15,5,75,3,4,2,0.17,1,0,1,0,7,6,2,0.17,3,0.5,4,1,4,1,NA,22,16,0,NA,86,89,89,NA,45,40,0,NA,1,0,0,28,30,58,3,41,100,9,"March 23, 2018",1,366.34,475,841.34,116.5,31
"20",460,5,75,4,15,5,75,3,4,4,15,6,4,7,6,6,4,5,75,5,75,3,4,4,15,3,4,3,0.5,2,0.17,6,4,4,1,6,4,1,0,6,4,4,1,NA,26,18,0,NA,NA,NA,58,NA,42,52,1,NA,1,1,1,31,25,56,2,41,91,13,"December 4, 2017",1,103.5,104,207.5,177.17,32
"21",461,7,270,7,270,6,180,6,180,5,75,7,6,7,6,6,4,6,180,7,270,4,15,6,180,3,4,6,4,4,1,6,4,7,6,6,4,6,4,7,6,6,4,NA,29,16,1,NA,158,95.5,92,NA,56,51,1,NA,1,0,0,42,33,75,3,46,111,11,"September 3, 2017",1,483,730,1213,456,44
"22",462,5,75,6,180,5,75,3,4,5,75,7,6,7,6,1,0,5,75,5,75,5,75,4,15,2,1,2,0.17,1,0,1,0,7,6,2,0.17,1,0,3,0.5,4,1,NA,23,18,1,NA,70,39,36,NA,21,44,0,NA,1,1,0,26,22,48,3,40,87,5,"April 4, 2018",1,171.34,265,436.34,232.5,29
"23",463,4,15,4,15,5,75,4,15,4,15,4,1,7,6,1,0,3,4,3,4,2,1,3,4,1,0.75,5,1.5,2,0.17,1,0,2,0.17,3,0.5,3,0.5,4,1,4,1,NA,18,18,0,NA,20,30,9,NA,-18,20,0,NA,1,1,0,19,20,39,1,39,80,15,"August 27, 2018",1,11.17,51,62.17,97.42,26
"24",465,6,180,6,180,6,180,5,75,5,75,7,6,7,6,6,4,6,180,6,180,4,15,6,180,4,15,2,0.17,5,1.5,6,4,6,4,4,1,2,0.17,7,6,7,6,NA,21,18,1,NA,90,91.5,54,NA,20,32,1,NA,1,1,1,34,30,64,3,40,89,14,"May 29, 2018",1,384.17,445,829.17,463.67,42
"25",467,4,15,1,0.75,5,75,3,4,1,0.75,7,6,7,6,1,0,5,75,5,75,1,0.75,5,75,1,0.75,2,0.17,1,0,1,0,6,4,2,0.17,2,0.17,5,1.5,2,0.17,NA,19,18,0,NA,67,89,52,NA,32,44,0,NA,1,1,0,22,16,38,2,38,80,5,"July 16, 2018",1,155.09,25.75,180.84,159.17,27
"26",468,3,4,6,180,6,180,4,15,3,4,7,6,7,6,6,4,5,75,6,180,3,4,6,180,1,0.75,4,1,4,1,1,0,7,6,7,6,3,0.5,7,6,7,6,NA,25,18,1,NA,104,73,39,NA,28,52,1,NA,1,1,0,34,26,60,NA,NA,NA,12,"January 31, 2018",1,377,209,586,273.25,36
"27",469,4,15,6,180,7,270,3,4,4,15,7,6,6,4,4,1,5,75,5,75,3,4,4,15,3,4,4,1,1,0,1,0,7,6,7,6,2,0.17,7,6,6,4,NA,29,18,0,NA,128,83,77,NA,52,48,0,NA,1,1,0,31,23,54,3,42,112,9,"September 16, 2017",1,107,204,311,376.17,36
"28",470,7,270,5,75,6,180,5,75,5,75,1,0,7,6,6,4,7,270,7,270,5,75,7,270,4,15,1,0,3,0.5,6,4,7,6,3,0.5,7,6,7,6,7,6,NA,19,18,0,NA,NA,NA,20,NA,24,44,0,NA,1,1,1,36,30,66,3,39,87,12,"July 3, 2018",1,625.5,430,1055.5,552.5,40
"29",478,6,180,5,75,6,180,5,75,4,15,7,6,7,6,6,4,6,180,6,180,4,15,6,180,2,1,5,1.5,2,0.17,2,0.17,7,6,1,0,6,4,5,1.5,6,4,NA,25,18,0,NA,NA,NA,26,NA,27,45,0,NA,1,1,1,31,29,60,3,42,89,5,"January 16, 2018",1,382.67,340,722.67,387.67,38
"30",484,5,75,6,180,6,180,6,180,4,15,7,6,7,6,7,6,6,180,6,180,6,180,7,270,2,1,6,4,4,1,4,1,5,1.5,2,0.17,6,4,5,1.5,2,0.17,NA,29,18,0,NA,104,49,67,NA,36,21,0,NA,1,1,1,31,36,67,3,39,96,15,"September 13, 2017",1,636.67,447,1083.67,388.5,40
"31",500,4,15,3,4,5,75,5,75,5,75,7,6,7,6,1,0,5,75,5,75,5,75,4,15,3,4,1,0,2,0.17,1,0,7,6,1,0,1,0,1,0,2,0.17,NA,22,16,1,70,112,98,27,5,35,38,1,1,0,0,0,24,20,44,NA,NA,NA,NA,"June 15, 2019",0,171,100,271,235.17,29
"32",502,5,75,5,75,5,75,3,4,4,15,1,0,6,4,1,0,6,180,5,75,2,1,4,15,1,0.75,1,0,1,0,1,0,6,4,6,4,1,0,6,4,4,1,3,20,18,0,100,54,67,48,70,23,33,0,0,0,1,0,25,20,45,NA,NA,NA,NA,"September 27, 2019",0,99,158,257,274.75,25
"33",503,4,15,3,4,7,270,5,75,4,15,1,0,7,6,6,4,5,75,5,75,4,15,3,4,3,4,1,0,1,0,1,0,7,6,1,0,1,0,6,4,4,1,2,18,18,0,100,36,56,25,55,-5,27,0,1,0,1,0,22,25,47,NA,NA,NA,NA,"January 10, 2020",0,100,104,204,368,28
"34",505,4,15,6,180,5,75,4,15,4,15,1,0,4,1,1,0,4,15,6,180,1,0.75,3,4,1,0.75,1,0,2,0.17,1,0,6,4,3,0.5,2,0.17,6,4,3,0.5,NA,22,18,0,100,81,85,55,65,28,42,0,0,0,1,0,21,19,40,NA,NA,NA,NA,"June 7, 2019",0,189.25,211,400.25,110.09,25
"35",506,4,15,5,75,6,180,2,1,5,75,6,4,6,4,1,0,6,180,6,180,2,1,4,15,2,1,2,0.17,1,0,1,0,7,6,2,0.17,2,0.17,4,1,4,1,NA,25,18,0,98,97,79,77,75,27,50,0,0,0,1,0,24,18,42,NA,NA,NA,NA,"March 2, 2019",1,202.34,95,297.34,441.17,32
"36",508,6,180,6,180,6,180,5,75,4,15,7,6,7,6,1,0,5,75,6,180,4,15,5,75,4,15,1,0,1,0,1,0,6,4,2,0.17,2,0.17,5,1.5,5,1.5,NA,25,18,1,100,89,46,82,65,39,52,0,0,0,1,0,25,25,50,NA,NA,NA,NA,"March 19, 2019",1,274.17,441,715.17,292.67,34
"37",511,5,75,5,75,6,180,4,15,3,4,7,6,7,6,1,0,6,180,6,180,4,15,6,180,2,1,1,0,1,0,1,0,5,1.5,2,0.17,2,0.17,5,1.5,5,1.5,NA,21,16,1,100,76,76,49,45,33,48,0,0,0,0,0,25,22,47,NA,NA,NA,NA,"July 23, 2019",0,376.67,171,547.67,372.67,32
"38",514,5,75,5,75,5,75,5,75,5,75,7,6,7,6,7,6,5,75,6,180,4,15,5,75,5,75,6,4,4,1,6,4,7,6,6,4,7,6,7,6,7,6,NA,31,18,0,20,116,50,75,30,45,46,1,1,0,1,0,40,29,69,NA,NA,NA,NA,"September 30, 2018",1,288,237,525,319,45
"39",517,7,270,1,0.75,4,15,3,4,3,4,7,6,7,6,1,0,6,180,5,75,5,75,5,75,1,0.75,1,0,1,0,1,0,4,1,2,0.17,4,1,2,0.17,6,4,NA,22,18,0,40,9,2.5,5,5,40,30,1,1,0,1,0,23,19,42,NA,NA,NA,NA,"June 11, 2019",0,226.17,280.75,506.92,206.92,28
"40",519,5,75,5,75,5,75,5,75,4,15,7,6,7,6,6,4,1,0.75,3,4,1,0.75,1,0.75,1,0.75,2,0.17,1,0,1,0,6,4,7,6,6,4,6,4,7,6,NA,19,18,0,70,20,23,16,20,47,31,1,0,0,1,1,21,28,49,NA,NA,NA,NA,"September 18, 2019",0,15.67,235,250.67,105.5,31
"41",520,6,180,4,15,6,180,4,15,4,15,7,6,7,6,1,0,6,180,6,180,5,75,6,180,5,75,1,0,2,0.17,2,0.17,7,6,7,6,1,0,5,1.5,6,4,2,20,18,0,100,105,99,67,85,23,44,0,0,0,1,1,34,22,56,NA,NA,NA,NA,"October 5, 2019",0,447.17,216,663.17,457.67,36
"42",522,7,270,4,15,7,270,4,15,4,15,5,1.5,7,6,1,0,6,180,5,75,4,15,7,270,2,1,1,0,1,0,1,0,3,0.5,1,0,2,0.17,5,1.5,5,1.5,NA,21,18,1,100,77,78,74,80,14,50,0,0,0,1,0,22,23,45,NA,NA,NA,NA,"July 22, 2019",0,360.5,306,666.5,469.17,32
"43",524,3,4,5,75,5,75,3,4,2,1,7,6,6,4,1,0,3,4,6,180,2,1,3,4,1,0.75,1,0,1,0,1,0,7,6,2,0.17,4,1,6,4,5,1.5,NA,20,18,0,70,24,21,9,5,29,15,1,1,0,1,0,22,18,40,NA,NA,NA,NA,"August 3, 2019",0,191.17,87,278.17,91.75,29
"44",526,5,75,5,75,6,180,4,15,4,15,7,6,7,6,1,0,4,15,5,75,3,4,5,75,2,1,3,0.5,1,0,2,0.17,7,6,1,0,3,0.5,4,1,2,0.17,NA,31,18,1,100,122,41,77,15,48,47,0,0,0,1,0,26,22,48,NA,NA,NA,NA,"September 14, 2018",1,160.67,171,331.67,218.5,31
"45",527,4,15,5,75,6,180,1,0.75,5,75,6,4,6,4,6,4,6,180,4,15,1,0.75,4,15,1,0.75,1,0,1,0,5,1.5,6,4,1,0,1,0,7,6,6,4,3,19,18,1,100,42,41,22,15,7,26,0,0,0,1,1,22,22,44,NA,NA,NA,NA,"October 29, 2019",0,36.25,98.75,135,445.75,33
"46",528,5,75,5,75,6,180,5,75,1,0.75,7,6,7,6,1,0,4,15,5,75,4,15,3,4,1,0.75,1,0,2,0.17,1,0,6,4,3,0.5,5,1.5,2,0.17,6,4,2,27,18,0,50,53,5,43,10,50,48,1,0,0,1,0,23,23,46,NA,NA,NA,NA,"February 6, 2019",1,98.5,231,329.5,204.34,28
"47",532,6,180,5,75,5,75,3,4,4,15,6,4,7,6,1,0,5,75,7,270,1,0.75,6,180,4,15,1,0,1,0,5,1.5,7,6,2,0.17,6,4,7,6,7,6,NA,18,18,1,65,61,83,62,90,39,47,1,0,0,1,0,29,22,51,NA,NA,NA,NA,"October 23, 2019",0,458.42,265,723.42,194,38
"48",537,3,4,7,270,6,180,4,15,3,4,7,6,7,6,1,0,6,180,7,270,4,15,5,75,3,4,1,0,1,0,5,1.5,7,6,2,0.17,2,0.17,4,1,6,4,NA,24,18,1,100,89,60,92,85,50,48,0,0,0,1,0,31,22,53,NA,NA,NA,NA,"April 18, 2019",0,367.67,295,662.67,375.17,32
"49",539,5,75,3,4,3,4,4,15,1,0.75,6,4,7,6,1,0,3,4,4,15,1,0.75,4,15,1,0.75,1,0,1,0,1,0,6,4,6,4,1,0,6,4,1,0,NA,18,16,1,50,9,7,5,5,1,29,1,1,0,0,0,23,20,43,NA,NA,NA,NA,"October 22, 2019",0,38.75,100,138.75,17.5,22
"50",541,6,180,6,180,6,180,4,15,5,75,7,6,7,6,7,6,6,180,5,75,5,75,7,270,5,75,3,0.5,1,0,1,0,7,6,4,1,7,6,7,6,7,6,NA,30,18,1,100,117,40,85,25,44,46,0,0,0,1,1,32,30,62,NA,NA,NA,NA,"October 26, 2018",1,427.5,387,814.5,528,44
