"","id","id_trial","triallength","correctaoi","distractor","maintainrate","triallength_3000","latency","lnpref","trial","age","education_year","female","child_exposure","lui_raw","lui_percentile","cdi_raw","cdi_percentile","emq_g","emq_pa","bilingual","bilingual_speaks","lab","graddegree","music","music_infant_total","music_current_total","music_total","htp","peabody_grasping","peabody_visualmotor","stp","mus1.1listentorecordedmusic_times","mus1.2singaloneorwithothers_times","mus1.3lookatbooks_times","mus1.4playwithmusicalinstruments_times","mus1.5makepaintingsordrawings_times","mus2.1dophysicalexercise_times","mus2.2danceormovetomusic_times","mus2.3attendmusicclasseslessons_times","mus3.1Ireadbookstomybaby_times","mus3.2isangtomybaby_times","mus3.3iplayedmusicalinstrumentswithmybaby_times","mus3.4iplayedrecordedmusicformybaby_times","mus3.5imadepaintingsordrawingswithmybaby_times","mus4.1itookmybabytoconcertstohearlivemusic_times","mus4.2itookmybabytoartmuseums_times","mus4.3itookmybabytomusicclasses_times","mus5.1isanglullabiesorothersongs_times","mus5.2iplayedrecordedmusic_times","mus5.3ispokerhymesorpoemstomybaby_times","mus5.4imadecooingorshushingsounds_times","mus5.5irubbedmybaby.sback_times","music_infant_total_times","music_current_total_times","music_total_times"
"1",427,"427_15",15340,1213,126,0.108508914,12340,5558,"2.264570002",15,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"2",427,"427_10",15324,975,212,0.096316131,12324,4166,"1.525851196",10,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"3",427,"427_11",15332,430,717,0.093010055,12332,6616,"-0.511290632",11,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"4",427,"427_12",15323,735,486,0.099083015,12323,6766,"0.413661875",12,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"5",427,"427_7",15343,693,247,0.076156526,12343,9937,"1.031641663",7,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"6",427,"427_13",15338,266,430,0.056411088,12338,7383,"-0.4802889",13,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"7",427,"427_16",15332,514,786,0.105416802,12332,4899,"-0.424733527",16,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"8",427,"427_21",15325,619,18,0.05168357,12325,8234,"3.537733515",21,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"9",427,"427_22",15348,421,471,0.072238419,12348,6082,"-0.11222526",22,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"10",427,"427_5",15319,424,296,0.058446302,12319,5415,"0.359374001",5,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"11",427,"427_6",15322,569,34,0.048936861,12322,6854,"2.81751991",6,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"12",427,"427_25",15332,72,0,0.005838469,12332,824,"Inf",25,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"13",427,"427_8",15316,636,391,0.083387463,12316,9499,"0.486491003",8,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"14",427,"427_9",15340,673,294,0.078363047,12340,5024,"0.828165562",9,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"15",427,"427_23",15307,1309,0,0.106362233,12307,8732,"Inf",23,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"16",427,"427_27",15302,214,326,0.043895302,12302,10181,"-0.420921366",27,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"17",427,"427_28",12042,110,315,0.047002875,9042,2919,"-1.052092273",28,29,18,0,NA,129,84,97,NA,52,52,0,NA,1,1,1,42,28,70,2,33,100,16,75,180,270,15,4,4,6,4,270,270,180,180,0.75,4,0,4,6,1,0,6,6,645,280,925
"18",431,"431_12",15337,195,595,0.064035017,12337,2232,"-1.115561847",12,18,16,1,NA,36,42,11,NA,-9,21,1,NA,1,0,0,28,22,50,2,35,63,NA,15,4,270,4,75,6,6,1.5,75,180,1,4,0.75,0.17,0.17,0.17,6,4,4,4,1,195.34,30.5,225.84
"19",431,"431_11",15340,558,472,0.083468395,12340,9682,"0.167379977",11,18,16,1,NA,36,42,11,NA,-9,21,1,NA,1,0,0,28,22,50,2,35,63,NA,15,4,270,4,75,6,6,1.5,75,180,1,4,0.75,0.17,0.17,0.17,6,4,4,4,1,195.34,30.5,225.84
"20",431,"431_9",15340,473,286,0.061507293,12340,11207,"0.503103578",9,18,16,1,NA,36,42,11,NA,-9,21,1,NA,1,0,0,28,22,50,2,35,63,NA,15,4,270,4,75,6,6,1.5,75,180,1,4,0.75,0.17,0.17,0.17,6,4,4,4,1,195.34,30.5,225.84
"21",431,"431_15",15357,679,294,0.078740795,12357,9107,"0.83704136",15,18,16,1,NA,36,42,11,NA,-9,21,1,NA,1,0,0,28,22,50,2,35,63,NA,15,4,270,4,75,6,6,1.5,75,180,1,4,0.75,0.17,0.17,0.17,6,4,4,4,1,195.34,30.5,225.84
"22",431,"431_10",15320,0,750,0.060876623,12320,NA,"#NAME?",10,18,16,1,NA,36,42,11,NA,-9,21,1,NA,1,0,0,28,22,50,2,35,63,NA,15,4,270,4,75,6,6,1.5,75,180,1,4,0.75,0.17,0.17,0.17,6,4,4,4,1,195.34,30.5,225.84
"23",431,"431_7",15332,73,59,0.01070386,12332,983,"0.212921997",7,18,16,1,NA,36,42,11,NA,-9,21,1,NA,1,0,0,28,22,50,2,35,63,NA,15,4,270,4,75,6,6,1.5,75,180,1,4,0.75,0.17,0.17,0.17,6,4,4,4,1,195.34,30.5,225.84
"24",431,"431_21",15325,349,478,0.067099391,12325,10508,"-0.31453881",21,18,16,1,NA,36,42,11,NA,-9,21,1,NA,1,0,0,28,22,50,2,35,63,NA,15,4,270,4,75,6,6,1.5,75,180,1,4,0.75,0.17,0.17,0.17,6,4,4,4,1,195.34,30.5,225.84
"25",431,"431_22",15351,100,113,0.017245567,12351,1683,"-0.122217633",22,18,16,1,NA,36,42,11,NA,-9,21,1,NA,1,0,0,28,22,50,2,35,63,NA,15,4,270,4,75,6,6,1.5,75,180,1,4,0.75,0.17,0.17,0.17,6,4,4,4,1,195.34,30.5,225.84
"26",431,"431_23",15323,411,112,0.042440964,12323,6465,"1.300094343",23,18,16,1,NA,36,42,11,NA,-9,21,1,NA,1,0,0,28,22,50,2,35,63,NA,15,4,270,4,75,6,6,1.5,75,180,1,4,0.75,0.17,0.17,0.17,6,4,4,4,1,195.34,30.5,225.84
"27",431,"431_5",15307,282,541,0.066872512,12307,1067,"-0.651512208",5,18,16,1,NA,36,42,11,NA,-9,21,1,NA,1,0,0,28,22,50,2,35,63,NA,15,4,270,4,75,6,6,1.5,75,180,1,4,0.75,0.17,0.17,0.17,6,4,4,4,1,195.34,30.5,225.84
"28",431,"431_8",15323,404,411,0.066136493,12323,11315,"-0.017178337",8,18,16,1,NA,36,42,11,NA,-9,21,1,NA,1,0,0,28,22,50,2,35,63,NA,15,4,270,4,75,6,6,1.5,75,180,1,4,0.75,0.17,0.17,0.17,6,4,4,4,1,195.34,30.5,225.84
"29",431,"431_6",15341,395,218,0.049671826,12341,7075,"0.594390702",6,18,16,1,NA,36,42,11,NA,-9,21,1,NA,1,0,0,28,22,50,2,35,63,NA,15,4,270,4,75,6,6,1.5,75,180,1,4,0.75,0.17,0.17,0.17,6,4,4,4,1,195.34,30.5,225.84
"30",432,"432_10",15174,178,377,0.04558896,12174,3085,"-0.750461637",10,18,18,0,NA,24,36,9,NA,15,15,1,NA,1,1,0,15,14,29,2,40,81,9,1,4,15,0.75,0.75,6,6,0,15,75,0.75,4,0.75,0,0.5,0,0.5,0,1,4,4,80.25,11.75,92
"31",432,"432_5",15198,882,273,0.094687654,12198,1723,"1.172720261",5,18,18,0,NA,24,36,9,NA,15,15,1,NA,1,1,0,15,14,29,2,40,81,9,1,4,15,0.75,0.75,6,6,0,15,75,0.75,4,0.75,0,0.5,0,0.5,0,1,4,4,80.25,11.75,92
"32",432,"432_11",15140,830,276,0.091103789,12140,8357,"1.101024835",11,18,18,0,NA,24,36,9,NA,15,15,1,NA,1,1,0,15,14,29,2,40,81,9,1,4,15,0.75,0.75,6,6,0,15,75,0.75,4,0.75,0,0.5,0,0.5,0,1,4,4,80.25,11.75,92
"33",432,"432_12",15170,173,639,0.066721446,12170,7991,"-1.30661286",12,18,18,0,NA,24,36,9,NA,15,15,1,NA,1,1,0,15,14,29,2,40,81,9,1,4,15,0.75,0.75,6,6,0,15,75,0.75,4,0.75,0,0.5,0,0.5,0,1,4,4,80.25,11.75,92
"34",432,"432_6",15207,767,417,0.096993528,12207,1558,"0.60940058",6,18,18,0,NA,24,36,9,NA,15,15,1,NA,1,1,0,15,14,29,2,40,81,9,1,4,15,0.75,0.75,6,6,0,15,75,0.75,4,0.75,0,0.5,0,0.5,0,1,4,4,80.25,11.75,92
"35",432,"432_8",15227,367,276,0.052588534,12227,1940,"0.284960982",8,18,18,0,NA,24,36,9,NA,15,15,1,NA,1,1,0,15,14,29,2,40,81,9,1,4,15,0.75,0.75,6,6,0,15,75,0.75,4,0.75,0,0.5,0,0.5,0,1,4,4,80.25,11.75,92
"36",433,"433_10",15304,456,692,0.093302991,12304,2930,"-0.417093146",10,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"37",433,"433_5",15304,401,563,0.078348505,12304,9188,"-0.339318201",5,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"38",433,"433_21",15324,471,168,0.051850049,12324,4516,"1.030894115",21,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"39",433,"433_22",15307,135,669,0.065328675,12307,2083,"-1.600509282",22,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"40",433,"433_23",15332,244,668,0.073953941,12332,3307,"-1.007119948",23,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"41",433,"433_24",15307,393,0,0.031933046,12307,1783,"Inf",24,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"42",433,"433_9",15308,281,0,0.022830679,12308,2241,"Inf",9,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"43",433,"433_6",15340,124,0,0.010048622,12340,1083,"Inf",6,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"44",433,"433_7",15340,775,315,0.088330632,12340,6758,"0.900290391",7,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"45",433,"433_8",15332,0,236,0.019137204,12332,NA,"#NAME?",8,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"46",433,"433_15",15316,215,683,0.072913284,12316,2550,"-1.155856831",15,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"47",433,"433_11",15307,784,356,0.09263021,12307,2508,"0.789478289",11,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"48",433,"433_13",15304,197,359,0.045188557,12304,11779,"-0.60011866",13,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"49",433,"433_14",15323,1010,141,0.093402581,12323,7590,"1.968945719",14,18,18,1,NA,46,60,26,NA,35,40,1,NA,1,1,0,22,21,43,2,39,84,11,15,180,180,4,15,0,6,0,75,75,4,15,4,0,0,0,6,0,0.17,4,6,100,205,305
"50",437,"437_21",15323,217,163,0.030836647,12323,1450,"0.286147153",21,28,18,1,NA,94,20,80,NA,54,52,1,NA,1,1,0,33,24,57,3,37,94,5,180,75,75,75,75,6,6,0,75,75,75,270,15,0,0,0,6,6,6,6,6,432,336,768
"51",437,"437_12",15322,531,588,0.09081318,12322,6164,"-0.101964927",12,28,18,1,NA,94,20,80,NA,54,52,1,NA,1,1,0,33,24,57,3,37,94,5,180,75,75,75,75,6,6,0,75,75,75,270,15,0,0,0,6,6,6,6,6,432,336,768
"52",437,"437_13",15319,881,101,0.079714263,12319,5920,"2.165937109",13,28,18,1,NA,94,20,80,NA,54,52,1,NA,1,1,0,33,24,57,3,37,94,5,180,75,75,75,75,6,6,0,75,75,75,270,15,0,0,0,6,6,6,6,6,432,336,768
"53",437,"437_14",15356,619,499,0.090482357,12356,7973,"0.215499177",14,28,18,1,NA,94,20,80,NA,54,52,1,NA,1,1,0,33,24,57,3,37,94,5,180,75,75,75,75,6,6,0,75,75,75,270,15,0,0,0,6,6,6,6,6,432,336,768
"54",437,"437_15",15307,161,1082,0.100999431,12307,7349,"-1.905162094",15,28,18,1,NA,94,20,80,NA,54,52,1,NA,1,1,0,33,24,57,3,37,94,5,180,75,75,75,75,6,6,0,75,75,75,270,15,0,0,0,6,6,6,6,6,432,336,768
"55",437,"437_16",15336,263,513,0.062905318,12336,3905,"-0.668121813",16,28,18,1,NA,94,20,80,NA,54,52,1,NA,1,1,0,33,24,57,3,37,94,5,180,75,75,75,75,6,6,0,75,75,75,270,15,0,0,0,6,6,6,6,6,432,336,768
"56",437,"437_9",15304,288,216,0.040962289,12304,8013,"0.287682072",9,28,18,1,NA,94,20,80,NA,54,52,1,NA,1,1,0,33,24,57,3,37,94,5,180,75,75,75,75,6,6,0,75,75,75,270,15,0,0,0,6,6,6,6,6,432,336,768
"57",437,"437_22",15331,368,618,0.079961074,12331,4282,"-0.518405519",22,28,18,1,NA,94,20,80,NA,54,52,1,NA,1,1,0,33,24,57,3,37,94,5,180,75,75,75,75,6,6,0,75,75,75,270,15,0,0,0,6,6,6,6,6,432,336,768
"58",437,"437_24",15297,381,152,0.043343905,12297,795,"0.918918854",24,28,18,1,NA,94,20,80,NA,54,52,1,NA,1,1,0,33,24,57,3,37,94,5,180,75,75,75,75,6,6,0,75,75,75,270,15,0,0,0,6,6,6,6,6,432,336,768
"59",437,"437_25",15343,246,468,0.057846553,12343,6717,"-0.64313676",25,28,18,1,NA,94,20,80,NA,54,52,1,NA,1,1,0,33,24,57,3,37,94,5,180,75,75,75,75,6,6,0,75,75,75,270,15,0,0,0,6,6,6,6,6,432,336,768
"60",437,"437_26",15339,367,197,0.045708728,12339,4115,"0.622158119",26,28,18,1,NA,94,20,80,NA,54,52,1,NA,1,1,0,33,24,57,3,37,94,5,180,75,75,75,75,6,6,0,75,75,75,270,15,0,0,0,6,6,6,6,6,432,336,768
